,mz,rtmin,rtmax,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\05_EB3388_AOH_p_0.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\06_EB3389_AOH_p_10.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\07_EB3390_AOH_p_20.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\08_EB3391_AOH_p_60.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\16_EB3392_AME_p_0.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\17_EB3393_AME_p_10.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\18_EB3394_AME_p_20.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\19_EB3395_AME_p_60.mzML
2514,522.2844411671401,0.19389086631945104,0.21933220572916615,1501048.2517089844,1367066.9645996094,1303581.1577148438,1553935.5822753906,1671299.2099609375,1401655.5256347656,1539593.9147949219,1872605.4282226562
2515,522.2847705254346,0.2203686475694406,0.2312898810764068,1811408.568359375,1422961.2595214844,1151229.935546875,1257141.65234375,329308.466796875,87100.46118164062,121849.34985351562,35427.102783203125
2516,522.3444788266547,0.1818037957957955,0.1834746996996973,108058.82373046875,112412.59716796875,118487.52001953125,120363.65356445312,126085.4931640625,134346.37231445312,125974.23120117188,85804.93896484375
2517,522.3446577909671,0.18364245795795495,0.18654335585585272,106859.18188476562,102377.44287109375,107880.98071289062,129616.25268554688,118471.0859375,110261.2724609375,116475.44702148438,125765.25390625
2518,522.3542485599799,0.18681138720538723,0.19497397053872606,7202048.654785156,7513029.0439453125,7224958.136230469,8192202.309082031,7987478.5673828125,7363579.092285156,7268344.6787109375,7720937.555419922
2519,522.4711475639558,0.203717275555556,0.2058423100000047,318002.857421875,304472.486328125,319117.1159667969,239887.38452148438,329222.0363769531,303360.4147949219,311259.3747558594,232032.0498046875
2520,523.287162107567,0.22998611111111666,0.23309852777778334,2708.2177734375,3126.890869140625,14567.18994140625,87975.1044921875,389898.0654296875,291273.7297363281,279349.2890625,274202.6220703125
2521,523.3227448266626,0.19153303932178375,0.19348851803752357,809244.6416015625,804818.8132324219,800885.9951171875,807516.1870117188,752477.0883789062,748319.826171875,734739.7067871094,642726.701171875
2522,523.358245360263,0.18671263625478376,0.19343054693487413,1987927.4018554688,2164531.666015625,2112769.9626464844,2321823.458984375,2263743.7211914062,2124674.151123047,2044977.5236816406,2145299.763671875
2523,523.358245360263,0.19539541882184816,0.19721411087165766,571575.4951171875,487101.0078125,456722.1806640625,445812.5830078125,489964.220703125,445971.1962890625,391246.9345703125,415128.3603515625
2524,523.4474010402603,0.21147284920635476,0.2156467114512527,271445.0505371094,121881.30688476562,80013.87744140625,101943.76879882812,159176.28930664062,141296.26879882812,115339.49047851562,131377.26977539062
2525,524.2304299396018,0.1512963346560897,0.15375566534391033,125628.00048828125,123434.97583007812,145906.6533203125,137476.16333007812,103167.32763671875,93022.91870117188,108079.7490234375,156874.50854492188
2526,524.2737739317687,0.18107615176152317,0.1826582140921354,857714.1303710938,1634889.3154296875,1880402.8271484375,2204314.6508789062,907094.052734375,1322509.337890625,1665486.41796875,1720722.841796875
2527,524.2737739317687,0.18263770663957193,0.18452660772357724,1080976.857421875,1942549.9296875,2263847.833984375,3581421.134765625,1349938.08203125,2015918.6962890625,2599004.1479492188,3631419.1416015625
2528,524.3264391718735,0.19163902222221665,0.19300408888888335,250453.77001953125,217675.62451171875,216817.93920898438,211097.36938476562,208692.05615234375,191142.25708007812,206371.75317382812,179368.90112304688
2529,524.3595525187405,0.1869495729166667,0.18924434027778334,104784.19750976562,122753.13916015625,113259.453125,111773.0546875,106468.09814453125,102569.36181640625,93530.86181640625,106968.5927734375
2530,524.3595525187405,0.18877243402778335,0.19169743402778336,190943.79150390625,143343.2392578125,152947.29052734375,168269.6708984375,200487.888671875,161490.4384765625,176430.09790039062,196569.39672851562
2531,524.3695859374284,0.1923125271672827,0.19472166452991452,502173.97998046875,587551.3493652344,457352.0380859375,398960.73046875,439622.44287109375,484153.55224609375,260726.65307617188,338644.134765625
2532,524.3695859374284,0.19411338675213122,0.2053311926129426,24324003.12890625,20340301.0078125,17713066.126953125,17151682.377929688,27202167.96875,22717773.40625,18875336.78125,17132887.78515625
2533,524.4508445686655,0.19386631481482036,0.1959554100529156,2723883.7651367188,2225300.018798828,1844028.734375,1440450.2216796875,2674781.0947265625,1916581.931640625,1591978.4125976562,1209520.7607421875
2534,524.4508445686655,0.19615531349206908,0.19804450529101084,549941.9599609375,565111.548828125,514732.83056640625,492115.998046875,525909.4555664062,497040.84716796875,493613.09912109375,458750.7333984375
2535,524.4508445686655,0.19858426322750766,0.20022548809524363,171793.80322265625,148887.2021484375,122857.03857421875,136043.10913085938,126789.67651367188,111911.30639648438,109472.396484375,127609.82739257812
2536,525.2769902616967,0.18118947727272172,0.182505507575752,235951.60693359375,432361.0166015625,508019.923828125,585833.1142578125,253686.7451171875,355233.072265625,433204.53564453125,464718.54248046875
2537,525.2769902616967,0.18258609595959038,0.18420049494949495,291509.87548828125,472971.4931640625,612839.162109375,931819.841796875,367708.0583496094,513107.10791015625,645842.1889648438,966548.1235351562
2538,525.2879687005667,0.08490927876984165,0.08687985218254167,223240.91845703125,206495.388671875,338605.77685546875,333009.548828125,227379.9287109375,258712.79614257812,251321.79296875,301072.841796875
2539,525.3731075947001,0.1929033302469138,0.2025962500000025,6295691.347167969,5765825.938964844,4872644.2119140625,4745098.26171875,7278563.76953125,6150692.544921875,5293417.060546875,4839364.486328125
2540,525.4536466199397,0.19410749509804412,0.19599316830065197,832750.3530273438,690004.1484375,536596.6840820312,417051.69384765625,799557.2727050781,581730.576171875,462833.5498046875,360185.1320800781
2541,525.4536466199397,0.1960377565359412,0.1974457222222167,133721.48291015625,120153.02490234375,122532.29516601562,113652.978515625,132396.46533203125,145373.42309570312,136329.08178710938,109552.28295898438
2542,526.286610447714,0.1915748191489305,0.19299005200944927,147171.26538085938,105844.173828125,104029.974609375,100835.52490234375,169051.73828125,135186.3828125,123293.60131835938,114208.44946289062
2543,526.286610447714,0.19294737056737413,0.19529987825058118,2123956.7412109375,1779418.3205566406,1543823.8500976562,1158723.6484375,2111854.57421875,1821500.3256835938,1544533.9877929688,1288819.5122070312
2544,526.2914531059691,0.18108666584966765,0.1826630776143735,197358.31323242188,374461.2478027344,488521.26611328125,648174.9580078125,211659.66845703125,320398.4501953125,438893.18994140625,558629.1787109375
2545,526.2914531059691,0.18264635457515785,0.1843267099673147,333568.3864746094,576486.4853515625,842924.494140625,1501405.3374023438,435675.38232421875,673078.6252441406,947430.443359375,1733250.140625
2546,526.3762713588732,0.19418304732510844,0.20232879012346233,1019370.1762695312,739001.8461914062,719680.771484375,708344.7104492188,1135283.3728027344,974828.7612304688,853712.2629394531,796605.2468261719
2547,526.4298689242306,0.185218859538789,0.1906112278563922,8614830.08203125,8658703.724609375,10310234.75390625,8292749.111328125,7829847.4990234375,7558986.437988281,7407194.8349609375,7882835.248046875
2548,527.2904923569455,0.19323686342593055,0.19536974999998333,508606.40283203125,419919.494140625,370449.62451171875,298615.4763183594,517721.6337890625,410901.490234375,346563.94873046875,273210.7438964844
2549,527.2955391880963,0.18108901041666148,0.18237650694444377,52867.50244140625,101580.35327148438,124082.24658203125,191450.96948242188,42407.233154296875,95022.19384765625,114301.123046875,163048.53295898438
2550,527.2955391880963,0.18237659027777708,0.18396120138889374,81391.62182617188,168422.57568359375,234255.12353515625,465524.1064453125,120703.33666992188,188737.82373046875,284192.36328125,500655.84033203125
2551,527.425907713073,0.20384483539095247,0.20596482921811174,350172.45556640625,363768.76123046875,411063.6447753906,352806.52978515625,528247.2241210938,554224.5456542969,551513.916015625,454815.109375
