Row.names	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	AME	AOH	ms_level	05_EB3388_AOH_p_0.mzXML	06_EB3389_AOH_p_10.mzXML	07_EB3390_AOH_p_20.mzXML	08_EB3391_AOH_p_60.mzXML	16_EB3392_AME_p_0.mzXML	17_EB3393_AME_p_10.mzXML	18_EB3394_AME_p_20.mzXML	19_EB3395_AME_p_60.mzXML	row ID	annotation network number	best ion	identified by n=	partners	neutral M mass	correlation group ID	auto MS2 verify
FT531	361.234481612315	361.233745202308	361.234886061246	606.3635	605.921	606.378	6	2	4	1	992270.758746102	2776195.08515723	4987021.28714367	9959427.01550136	2683587.10923011	5913597.07431799	3527744.49055401	9246997.50722861	531	64	[M+Na]+	4	421;600;350	338.242322169829	25	NA
FT532	361.272888183594	361.272342134283	361.273529200597	653.748	653.319	659.902	9	4	4	1	372738.939665037	647231.60286067	853977.771958107	1035187.49547232	358969.896213864	614896.259242176	783882.832154299	864373.357871882	532	NA	NA	NA	NA	NA	40	NA
FT533	361.325583744151	361.325075778359	361.325819766878	728.3555	727.9	728.771	8	4	4	1	8619513.90842914	7299444.25332319	5233893.1925657	5962655.11434665	7030774.06885801	6444760.30448441	8327882.20097521	5462878.51743326	533	NA	NA	NA	NA	NA	2	NA
FT534	361.330285075742	361.329913502081	361.330631022226	701.574	701.136	701.599	8	4	4	1	363225.347138671	394547.062851566	329275.61251602	283512.264656249	299322.664943573	299515.029282815	265560.474638671	259179.77850261	534	NA	NA	NA	NA	NA	41	NA
FT535	362.221199220032	362.221096634665	362.221301805398	674.807	674.371	675.243	2	0	2	1	867981.531999706	668843.014975256	73360.410333069	29553.1915295563	4419.53859745789	NA	9079.82033317567	1829.23228182221	535	41	[M+Na]+	2	428	339.231907321818	19	NA
FT536	362.237756277654	362.237225477514	362.238186878636	600.23	600.206	600.651	7	3	4	1	296820.568390872	913455.413943181	1283760.73560058	4339179.56771763	301398.340737304	687845.072561092	987186.411374993	37857.0210456709	536	NA	NA	NA	NA	NA	18	NA
FT537	362.237638700607	362.237249458762	362.238001788953	606.357	605.944	606.377	4	2	2	1	NA	545475.531909289	830796.235319538	599079.060314586	112699.217470316	470968.275736111	742489.014400579	NA	537	NA	NA	NA	NA	NA	25	NA
FT538	362.301937953733	362.301561089184	362.302443844791	703.7695	698.942	703.792	10	3	4	1	497183.467210078	453541.415937495	276036.45283873	322300.810611974	551913.898722659	341194.15923243	423507.671870113	19824.939865374	538	128	[M+H-C3H2O3]+	5	685;686;813;660	447.29676649083	41	NA
FT539	362.328968292527	362.328356808875	362.32913202038	728.3535	727.9	728.771	8	4	4	1	952084.325276297	779192.553453116	546591.895747409	638591.955451382	754080.668698243	666012.970546868	903513.291799361	598874.997926139	539	NA	NA	NA	NA	NA	2	NA
FT540	363.161558394464	363.161446588972	363.161644143466	694.119	693.674	694.131	3	0	3	1	252204.105410156	195684.537645092	241725.218782877	221637.112355955	35065.5659330874	26448.5578621238	10219.0555124421	1400.19083807147	540	NA	NA	NA	NA	NA	13	NA
