PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
247	Unknown	1331	9.77703	9.850166	9.952508	275.2005	96573.484375	377099.3125	null	[M+H]+	M + 0	similar chromatogram in higher mz_248	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.058405	275.19284:2703 275.20047:116076 275.86642:2483 276.20374:25651 277.17969:7815 277.21613:44105 278.21927:5511 278.3475:2221 278.95377:12104 279.10101:5510 279.15939:3873 279.21823:4042 279.23172:1077184	
248	Unknown	1332	9.784295	9.85743	9.945193	315.1929	108571.3828125	400275.875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	114.6689	315.18365:2350 315.19293:136105 315.25284:145767 316.19611:23153 316.25626:27156 316.31973:4063 317.26712:6090 319.18668:2275 319.2262:6494 320.06696:18948	
249	Unknown	1339	9.864743	9.908635	9.974453	261.221	159410.609375	550029.0625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7.630546	261.13055:2972 261.22101:201654 262.02155:3800 262.22427:38752 262.8515:2356 262.98077:6693 263.2366:9499 265.10403:2868 265.14136:3037 265.30661:2276	
250	Unknown	1339	9.872064	9.908635	10.08416	279.2315	2145318	7327811	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3238.081	278.95364:13026 279.10205:8075 279.15814:5651 279.18994:3817 279.21442:7098 279.23151:2650584 279.24042:21768 279.24564:8191 279.25104:4116 279.25461:4241 279.25888:2405 279.26154:2920 280.23486:511469 281.17151:3154 281.21088:42289 281.23834:37309 281.24695:7168 282.21399:4522 282.23892:2630 282.2511:2436 283.17502:5571 283.22577:4609	
251	Unknown	1339	9.872064	9.908635	10.08416	280.2349	406846.3125	1383404.375	null	[M+H]+	M + 1	isotope of 250	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	20.8549	280.23486:511469 281.17151:3154 281.21088:42289 281.23834:37309 281.24695:7168 282.21399:4522 282.23892:2630 282.2511:2436 283.17502:5571 283.22577:4609 284.33182:3020 285.10788:3461 285.12454:3310 285.20581:26213 285.22162:4753	
252	Unknown	1339	9.864743	9.908635	10.07685	297.2421	1233828.75	4278964	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	30.09	297.22775:2809 297.24213:1508836 297.25116:13128 297.25757:6446 298.23486:3231 298.24545:295848 299.07401:3721 299.10941:3109 299.1438:2153 299.20084:3313 299.22137:7776 299.2493:15721 299.2576:38706 300.26086:6792 301.14075:12187 301.21533:4474 301.23724:11491 302.14407:4578 302.2327:12737	
253	Unknown	1339	9.864743	9.908635	10.04027	298.2455	239085.28125	808987.875	null	[M+H]+	M + 1	isotope of 252	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4781.706	298.23486:3231 298.24545:295848 299.07401:3721 299.10941:3109 299.1438:2153 299.20084:3313 299.22137:7776 299.2493:15721 299.2576:38706 300.26086:6792 301.14075:12187 301.21533:4474 301.23724:11491 302.14407:4578 302.2327:12737 302.30505:5294 303.23126:24401	
254	Unknown	1339	9.872064	9.908635	10.01101	311.2578	158858.5	549985.1875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	42.62133	311.2189:6381 311.25781:194409 312.26114:34969 313.17337:4642 313.23727:8118 313.26501:4905 314.26974:3860 315.19296:13941 315.25269:627795 316.22461:8260 316.25601:120664	
255	Unknown	1339	9.864743	9.908635	10.11341	315.2527	497296.09375	1721478.625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	17.04476	315.19296:13941 315.25269:627795 316.22461:8260 316.25601:120664 316.32047:2954 317.21017:3745 317.25967:8507 317.26788:5677 318.24011:14643 319.22495:8059 319.28409:13781 320.06689:10295 320.23077:2638	
256	Unknown	1339	9.842803	9.908635	9.989075	325.2347	102495.4453125	342469.28125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.87222	325.2016:2900 325.21552:4818 325.23468:131615 326.23813:18803 326.3779:43238 327.00793:10674 327.20071:3525 327.21378:3062 327.23151:4400 327.25027:12339 327.3812:9559 329.00513:9998 329.16943:21218	
257	Unknown	1339	9.850166	9.908635	10.02565	332.2794	88818.90625	294362.6875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	18.35713	331.7829:2706 332.27939:114528 332.55948:2446 333.00146:2455 333.15036:8464 333.28256:21443 334.22739:4555 335.06348:5961 335.21899:51207 336.22235:13984 337.16147:5860 337.17026:6712 337.18994:6228 337.19342:8861 337.19812:3483 337.20352:6184 337.20844:7552 337.21246:12372 337.2345:4827439 337.2525:15955 337.27115:7624 337.27557:3944	
258	Unknown	1339	9.872064	9.908635	10.07685	353.1998	124239.40625	436794.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	224.3143	353.19983:143011 354.20309:25586 355.17468:3517 355.20593:3827 355.36786:4262 357.00824:3402 357.17239:7973 357.20154:4610 357.26126:2939	
